threshold,sensitivity,specificity,precision_ppv,negative_predictive_value,f1,accuracy,tp,tn,fp,fn
0.01,1.0,0.0,0.6173469387755102,nan,0.7634069400630915,0.6173469387755102,121,0,75,0
0.02,1.0,0.04,0.6269430051813472,1.0,0.7707006369426752,0.6326530612244898,121,3,72,0
0.03,1.0,0.05333333333333334,0.6302083333333334,1.0,0.7731629392971247,0.6377551020408163,121,4,71,0
0.04,1.0,0.14666666666666667,0.654054054054054,1.0,0.7908496732026143,0.673469387755102,121,11,64,0
0.05,1.0,0.17333333333333334,0.6612021857923497,1.0,0.7960526315789473,0.6836734693877551,121,13,62,0
0.06,0.9917355371900827,0.2,0.6666666666666666,0.9375,0.7973421926910299,0.6887755102040817,120,15,60,1
0.07,0.9917355371900827,0.24,0.6779661016949152,0.9473684210526315,0.8053691275167785,0.7040816326530612,120,18,57,1
0.08,0.9834710743801653,0.28,0.6878612716763006,0.9130434782608695,0.8095238095238095,0.7142857142857143,119,21,54,2
0.09,0.9834710743801653,0.29333333333333333,0.6918604651162791,0.9166666666666666,0.8122866894197952,0.7193877551020408,119,22,53,2
0.1,0.9834710743801653,0.32,0.7,0.9230769230769231,0.8178694158075601,0.7295918367346939,119,24,51,2
0.11,0.9834710743801653,0.36,0.7125748502994012,0.9310344827586207,0.8263888888888888,0.7448979591836735,119,27,48,2
0.12,0.9834710743801653,0.48,0.7531645569620253,0.9473684210526315,0.8530465949820788,0.7908163265306123,119,36,39,2
0.13,0.9752066115702479,0.5333333333333333,0.7712418300653595,0.9302325581395349,0.8613138686131386,0.8061224489795918,118,40,35,3
0.14,0.9586776859504132,0.56,0.7785234899328859,0.8936170212765957,0.8592592592592593,0.8061224489795918,116,42,33,5
0.15,0.9586776859504132,0.6266666666666667,0.8055555555555556,0.9038461538461539,0.8754716981132076,0.8316326530612245,116,47,28,5
0.16,0.9504132231404959,0.6533333333333333,0.8156028368794326,0.8909090909090909,0.8778625954198473,0.8367346938775511,115,49,26,6
0.17,0.9504132231404959,0.7066666666666667,0.8394160583941606,0.8983050847457628,0.8914728682170543,0.8571428571428571,115,53,22,6
0.18,0.9421487603305785,0.72,0.8444444444444444,0.8852459016393442,0.890625,0.8571428571428571,114,54,21,7
0.19,0.9338842975206612,0.7466666666666667,0.8560606060606061,0.875,0.8932806324110671,0.8622448979591837,113,56,19,8
0.2,0.9338842975206612,0.76,0.8625954198473282,0.8769230769230769,0.8968253968253969,0.8673469387755102,113,57,18,8
0.21,0.9338842975206612,0.76,0.8625954198473282,0.8769230769230769,0.8968253968253969,0.8673469387755102,113,57,18,8
0.22,0.9256198347107438,0.8,0.8818897637795275,0.8695652173913043,0.9032258064516129,0.8775510204081632,112,60,15,9
0.23,0.9256198347107438,0.8133333333333334,0.8888888888888888,0.8714285714285714,0.9068825910931174,0.8826530612244898,112,61,14,9
0.24,0.9256198347107438,0.8133333333333334,0.8888888888888888,0.8714285714285714,0.9068825910931174,0.8826530612244898,112,61,14,9
0.25,0.8925619834710744,0.84,0.9,0.8289473684210527,0.8962655601659751,0.8724489795918368,108,63,12,13
0.26,0.8760330578512396,0.8533333333333334,0.905982905982906,0.810126582278481,0.8907563025210085,0.8673469387755102,106,64,11,15
0.27,0.8760330578512396,0.8933333333333333,0.9298245614035088,0.8170731707317073,0.902127659574468,0.8826530612244898,106,67,8,15
0.28,0.8760330578512396,0.9066666666666666,0.9380530973451328,0.8192771084337349,0.905982905982906,0.8877551020408163,106,68,7,15
0.29,0.8760330578512396,0.9066666666666666,0.9380530973451328,0.8192771084337349,0.905982905982906,0.8877551020408163,106,68,7,15
0.3,0.859504132231405,0.9066666666666666,0.9369369369369369,0.8,0.896551724137931,0.8775510204081632,104,68,7,17
0.31,0.8264462809917356,0.9066666666666666,0.9345794392523364,0.7640449438202247,0.8771929824561403,0.8571428571428571,100,68,7,21
0.32,0.8181818181818182,0.9333333333333333,0.9519230769230769,0.7608695652173914,0.88,0.8622448979591837,99,70,5,22
0.33,0.8181818181818182,0.9333333333333333,0.9519230769230769,0.7608695652173914,0.88,0.8622448979591837,99,70,5,22
0.34,0.8099173553719008,0.9333333333333333,0.9514563106796117,0.7526881720430108,0.875,0.8571428571428571,98,70,5,23
0.35,0.7603305785123967,0.9333333333333333,0.9484536082474226,0.7070707070707071,0.8440366972477065,0.826530612244898,92,70,5,29
0.36,0.7520661157024794,0.9333333333333333,0.9479166666666666,0.7,0.8387096774193549,0.8214285714285714,91,70,5,30
0.37,0.7520661157024794,0.9333333333333333,0.9479166666666666,0.7,0.8387096774193549,0.8214285714285714,91,70,5,30
0.38,0.743801652892562,0.9333333333333333,0.9473684210526315,0.693069306930693,0.8333333333333334,0.8163265306122449,90,70,5,31
0.39,0.743801652892562,0.9333333333333333,0.9473684210526315,0.693069306930693,0.8333333333333334,0.8163265306122449,90,70,5,31
0.4,0.743801652892562,0.9333333333333333,0.9473684210526315,0.693069306930693,0.8333333333333334,0.8163265306122449,90,70,5,31
0.41,0.743801652892562,0.9333333333333333,0.9473684210526315,0.693069306930693,0.8333333333333334,0.8163265306122449,90,70,5,31
0.42,0.743801652892562,0.9333333333333333,0.9473684210526315,0.693069306930693,0.8333333333333334,0.8163265306122449,90,70,5,31
0.43,0.7355371900826446,0.9333333333333333,0.9468085106382979,0.6862745098039216,0.827906976744186,0.8112244897959183,89,70,5,32
0.44,0.71900826446281,0.9333333333333333,0.9456521739130435,0.6730769230769231,0.8169014084507042,0.8010204081632653,87,70,5,34
0.45,0.71900826446281,0.9333333333333333,0.9456521739130435,0.6730769230769231,0.8169014084507042,0.8010204081632653,87,70,5,34
0.46,0.7024793388429752,0.9333333333333333,0.9444444444444444,0.660377358490566,0.8056872037914692,0.7908163265306123,85,70,5,36
0.47,0.6942148760330579,0.9333333333333333,0.9438202247191011,0.6542056074766355,0.8,0.7857142857142857,84,70,5,37
0.48,0.6942148760330579,0.9333333333333333,0.9438202247191011,0.6542056074766355,0.8,0.7857142857142857,84,70,5,37
0.49,0.6859504132231405,0.9333333333333333,0.9431818181818182,0.6481481481481481,0.7942583732057417,0.7806122448979592,83,70,5,38
0.5,0.6776859504132231,0.9333333333333333,0.9425287356321839,0.6422018348623854,0.7884615384615384,0.7755102040816326,82,70,5,39
0.51,0.6776859504132231,0.9333333333333333,0.9425287356321839,0.6422018348623854,0.7884615384615384,0.7755102040816326,82,70,5,39
0.52,0.6776859504132231,0.9333333333333333,0.9425287356321839,0.6422018348623854,0.7884615384615384,0.7755102040816326,82,70,5,39
0.53,0.6776859504132231,0.9333333333333333,0.9425287356321839,0.6422018348623854,0.7884615384615384,0.7755102040816326,82,70,5,39
0.54,0.6776859504132231,0.9333333333333333,0.9425287356321839,0.6422018348623854,0.7884615384615384,0.7755102040816326,82,70,5,39
0.55,0.6776859504132231,0.9466666666666667,0.9534883720930233,0.6454545454545455,0.7922705314009661,0.7806122448979592,82,71,4,39
0.56,0.6776859504132231,0.9466666666666667,0.9534883720930233,0.6454545454545455,0.7922705314009661,0.7806122448979592,82,71,4,39
0.57,0.6528925619834711,0.96,0.9634146341463414,0.631578947368421,0.7783251231527094,0.7704081632653061,79,72,3,42
0.58,0.6528925619834711,0.96,0.9634146341463414,0.631578947368421,0.7783251231527094,0.7704081632653061,79,72,3,42
0.59,0.6446280991735537,0.96,0.9629629629629629,0.6260869565217392,0.7722772277227723,0.7653061224489796,78,72,3,43
0.6,0.628099173553719,0.96,0.9620253164556962,0.6153846153846154,0.76,0.7551020408163265,76,72,3,45
0.61,0.628099173553719,0.96,0.9620253164556962,0.6153846153846154,0.76,0.7551020408163265,76,72,3,45
0.62,0.628099173553719,0.96,0.9620253164556962,0.6153846153846154,0.76,0.7551020408163265,76,72,3,45
0.63,0.6198347107438017,0.96,0.9615384615384616,0.6101694915254238,0.7537688442211056,0.75,75,72,3,46
0.64,0.6198347107438017,0.96,0.9615384615384616,0.6101694915254238,0.7537688442211056,0.75,75,72,3,46
0.65,0.6115702479338843,0.96,0.961038961038961,0.6050420168067226,0.7474747474747475,0.7448979591836735,74,72,3,47
0.66,0.5950413223140496,0.96,0.96,0.5950413223140496,0.7346938775510204,0.7346938775510204,72,72,3,49
0.67,0.5619834710743802,0.9733333333333334,0.9714285714285714,0.5793650793650794,0.7120418848167539,0.7193877551020408,68,73,2,53
0.68,0.5537190082644629,0.9733333333333334,0.9710144927536232,0.5748031496062992,0.7052631578947368,0.7142857142857143,67,73,2,54
0.69,0.5537190082644629,0.9733333333333334,0.9710144927536232,0.5748031496062992,0.7052631578947368,0.7142857142857143,67,73,2,54
0.7,0.5289256198347108,0.9733333333333334,0.9696969696969697,0.5615384615384615,0.6844919786096256,0.6989795918367347,64,73,2,57
0.71,0.512396694214876,0.9733333333333334,0.96875,0.553030303030303,0.6702702702702703,0.6887755102040817,62,73,2,59
0.72,0.49586776859504134,0.9733333333333334,0.967741935483871,0.5447761194029851,0.6557377049180327,0.6785714285714286,60,73,2,61
0.73,0.47107438016528924,0.9733333333333334,0.9661016949152542,0.5328467153284672,0.6333333333333333,0.6632653061224489,57,73,2,64
0.74,0.47107438016528924,0.9733333333333334,0.9661016949152542,0.5328467153284672,0.6333333333333333,0.6632653061224489,57,73,2,64
0.75,0.4628099173553719,0.9866666666666667,0.9824561403508771,0.5323741007194245,0.6292134831460674,0.6632653061224489,56,74,1,65
0.76,0.45454545454545453,0.9866666666666667,0.9821428571428571,0.5285714285714286,0.6214689265536724,0.6581632653061225,55,74,1,66
0.77,0.45454545454545453,0.9866666666666667,0.9821428571428571,0.5285714285714286,0.6214689265536724,0.6581632653061225,55,74,1,66
0.78,0.45454545454545453,0.9866666666666667,0.9821428571428571,0.5285714285714286,0.6214689265536724,0.6581632653061225,55,74,1,66
0.79,0.4297520661157025,0.9866666666666667,0.9811320754716981,0.5174825174825175,0.5977011494252874,0.6428571428571429,52,74,1,69
0.8,0.4049586776859504,0.9866666666666667,0.98,0.5068493150684932,0.5730994152046783,0.6275510204081632,49,74,1,72
0.81,0.38016528925619836,0.9866666666666667,0.9787234042553191,0.4966442953020134,0.5476190476190477,0.6122448979591837,46,74,1,75
