sample_id,class_name,target,fold,temperature,T_low,T_high,tta_count,probability_mean,probability_std,probability_min,probability_max,probability_range,predictive_entropy_mean_probability,mean_three_band_state,tta_unique_state_count,tta_states_seen,band_instability,crosses_T_low,crosses_T_high,raw_identity,calibrated_identity,raw_rotate_minus_3,calibrated_rotate_minus_3,raw_rotate_plus_3,calibrated_rotate_plus_3,raw_translate_left_2pct,calibrated_translate_left_2pct,raw_translate_right_2pct,calibrated_translate_right_2pct,raw_translate_up_2pct,calibrated_translate_up_2pct,raw_translate_down_2pct,calibrated_translate_down_2pct
no_0bc12dee429a9969,no,0,4,0.648384428159508,0.13,0.57,7,0.03624567336889066,0.007714024529119013,0.02693612988123544,0.051236538276140005,0.024300408394904566,0.15582339049290345,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.10698452591896057,0.03652231280812374,0.09544812142848969,0.030224833493097826,0.13096606731414795,0.051236538276140005,0.08901327848434448,0.02693612988123544,0.10917803645133972,0.0377775376568195,0.09462069720029831,0.029792921331023386,0.11505236476659775,0.041229440135794666
no_16d05c87bffe4fdd,no,0,4,0.648384428159508,0.13,0.57,7,0.03326618562087224,0.0052110118242399955,0.022990144115216972,0.03949402274945438,0.016503878634237405,0.14591856978662,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.11147256195545197,0.03911022398833629,0.10491538792848587,0.03535513476197207,0.08083372563123703,0.022990144115216972,0.0971212238073349,0.031106301756708584,0.11212702840566635,0.03949402274945438,0.1008715108036995,0.03312147385652676,0.09821047633886337,0.031685998117890635
no_2d304e407ec526c9,no,0,4,0.648384428159508,0.13,0.57,7,0.027354317800172143,0.008320082963923938,0.015209012760566576,0.040326404775639486,0.02511739201507291,0.1254216612651259,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.08762893080711365,0.02624977005698925,0.0803925022482872,0.022784809301885985,0.06273103505373001,0.015209012760566576,0.07480491697788239,0.020251673426417337,0.09464477002620697,0.02980544969463899,0.11353699117898941,0.040326404775639486,0.10756571590900421,0.036853104585067374
no_2db2426323e2d116,no,0,4,0.648384428159508,0.13,0.57,7,0.015525466499249022,0.00340844392142032,0.012136117983925587,0.021629999508439305,0.009493881524513718,0.08007213363601232,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.07008540630340576,0.0182098387512675,0.05630151182413101,0.012769286867814844,0.059597618877887726,0.013998372032310026,0.054553478956222534,0.012136117983925587,0.06884629279375076,0.017688720185959777,0.054859235882759094,0.012245930165026118,0.07787928730249405,0.021629999508439305
no_3ceab6190d93957c,no,0,4,0.648384428159508,0.13,0.57,7,0.010429744186271319,0.0020908384847210253,0.007229864073509443,0.01247445660123608,0.005244592527726637,0.057967062610450426,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.05031181126832962,0.010654105468440886,0.03948574885725975,0.007229864073509443,0.03977006673812866,0.007313036536638303,0.05537060648202896,0.012430478511375296,0.05147712677717209,0.011053533419370055,0.055492013692855835,0.01247445660123608,0.053759243339300156,0.011852734693329155
no_6a028c0cf05b9ab4,no,0,4,0.648384428159508,0.13,0.57,7,0.03939834539913136,0.01021528928305924,0.028936747313809373,0.06197305553638452,0.033036308222575146,0.1660273208170934,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.10720830410718918,0.03664952606166497,0.10278858989477158,0.0341725463078627,0.09296520054340363,0.028936747313809373,0.11667565256357193,0.042206449802174556,0.0973106175661087,0.03120676664777652,0.14657609164714813,0.06197305553638452,0.11407048255205154,0.04064332612424691
no_912cec46265a5793,no,0,4,0.648384428159508,0.13,0.57,7,0.4055030014106683,0.07430412209303844,0.3113319289790392,0.5078337274928435,0.19650179851380428,0.6751799473361775,INDETERMINATE,1,INDETERMINATE,False,False,False,0.3743916153907776,0.31177189676759726,0.46016615629196167,0.43874326142992953,0.47834062576293945,0.4666236459686083,0.5050795078277588,0.5078337274928435,0.3740801513195038,0.3113319289790392,0.47027313709259033,0.4542267941505835,0.3996047377586365,0.34798975508607666
no_96eb6967090f99bc,no,0,4,0.648384428159508,0.13,0.57,7,0.0331710265334328,0.01241736147290146,0.01277145442994634,0.04801062677397569,0.035239172344029346,0.14559780157751126,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.10790183395147324,0.03704500011572192,0.056307435035705566,0.01277145442994634,0.07052645832300186,0.018396833925599328,0.12599878013134003,0.04801062677397569,0.11425133049488068,0.040751004493874594,0.12142378836870193,0.04512146551680151,0.09521102905273438,0.03010080047811021
no_ab2d50ea056994dd,no,0,4,0.648384428159508,0.13,0.57,7,0.05232123687681316,0.008571044210649312,0.03895770262762403,0.06577078676890898,0.026813084141284943,0.20529407908172878,GBM_NOT_SUSPECTED,1,GBM_NOT_SUSPECTED,False,False,False,0.14798884093761444,0.0629893027499678,0.12514978647232056,0.04746852660101981,0.1320980340242386,0.051984597807790814,0.15180446207523346,0.06577078676890898,0.12983030080795288,0.050490784041101466,0.11121170222759247,0.03895770262762403,0.12689676880836487,0.048586957541279195
no_c3da82d44359f4a1,no,0,4,0.648384428159508,0.13,0.57,7,0.1816964486336989,0.04035694364226019,0.12686515536574908,0.23515408227526757,0.1082889269095185,0.47395616710977145,INDETERMINATE,2,GBM_NOT_SUSPECTED|INDETERMINATE,True,True,False,0.2225770801305771,0.12686515536574908,0.31762102246284485,0.23515408227526757,0.31612280011177063,0.2332395852802924,0.2942557632923126,0.206000360791204,0.264525443315506,0.1712040848966053,0.23711127042770386,0.14157142921407306,0.2524392306804657,0.15784044261270083
