sample_id,class_name,label,standardized_relative_path,quality_status,near_duplicate_group_id,leakage_group_id,holdout_split,cv_fold
no_0e2f7a4ea3e0124e,no,0,data/processed/classification_384/no/no_0e2f7a4ea3e0124e.png,pass,,sample::no_0e2f7a4ea3e0124e,development,0
no_219987922e3461ef,no,0,data/processed/classification_384/no/no_219987922e3461ef.png,pass,,sample::no_219987922e3461ef,development,0
no_220e62fca790bcec,no,0,data/processed/classification_384/no/no_220e62fca790bcec.png,pass,,sample::no_220e62fca790bcec,development,0
no_29504dbbe42208cd,no,0,data/processed/classification_384/no/no_29504dbbe42208cd.png,pass,,sample::no_29504dbbe42208cd,development,0
no_2d07d5dc31a6f83f,no,0,data/processed/classification_384/no/no_2d07d5dc31a6f83f.png,pass,,sample::no_2d07d5dc31a6f83f,development,0
no_42c0923d95ea398b,no,0,data/processed/classification_384/no/no_42c0923d95ea398b.png,pass,,sample::no_42c0923d95ea398b,development,0
no_744e69af8593f89a,no,0,data/processed/classification_384/no/no_744e69af8593f89a.png,pass,,sample::no_744e69af8593f89a,development,0
no_760138854027be6d,no,0,data/processed/classification_384/no/no_760138854027be6d.png,pass,ndg_006,ndg_006,development,0
no_7e606d5851ec154e,no,0,data/processed/classification_384/no/no_7e606d5851ec154e.png,pass,ndg_007,ndg_007,development,0
no_81f4b76bdbd241ba,no,0,data/processed/classification_384/no/no_81f4b76bdbd241ba.png,pass,,sample::no_81f4b76bdbd241ba,development,0
no_9b1014fc56b1e254,no,0,data/processed/classification_384/no/no_9b1014fc56b1e254.png,pass,,sample::no_9b1014fc56b1e254,development,0
no_ab01efa9ce7ad51d,no,0,data/processed/classification_384/no/no_ab01efa9ce7ad51d.png,pass,,sample::no_ab01efa9ce7ad51d,development,0
no_bec663631a5dca91,no,0,data/processed/classification_384/no/no_bec663631a5dca91.png,pass,ndg_006,ndg_006,development,0
no_c8280173142dbe05,no,0,data/processed/classification_384/no/no_c8280173142dbe05.png,pass,ndg_007,ndg_007,development,0
no_e34b6fd8d386909b,no,0,data/processed/classification_384/no/no_e34b6fd8d386909b.png,pass,,sample::no_e34b6fd8d386909b,development,0
yes_0f86705620b9fafe,yes,1,data/processed/classification_384/yes/yes_0f86705620b9fafe.png,pass,,sample::yes_0f86705620b9fafe,development,0
yes_13622753872a9c37,yes,1,data/processed/classification_384/yes/yes_13622753872a9c37.png,pass,,sample::yes_13622753872a9c37,development,0
yes_423367d590285175,yes,1,data/processed/classification_384/yes/yes_423367d590285175.png,pass,,sample::yes_423367d590285175,development,0
yes_43d5e0b3752c017e,yes,1,data/processed/classification_384/yes/yes_43d5e0b3752c017e.png,pass,ndg_012,ndg_012,development,0
yes_46d0b280b7be26b5,yes,1,data/processed/classification_384/yes/yes_46d0b280b7be26b5.png,pass,,sample::yes_46d0b280b7be26b5,development,0
yes_5249365945e24fa9,yes,1,data/processed/classification_384/yes/yes_5249365945e24fa9.png,pass,,sample::yes_5249365945e24fa9,development,0
yes_6a069b3d733eb11d,yes,1,data/processed/classification_384/yes/yes_6a069b3d733eb11d.png,pass,,sample::yes_6a069b3d733eb11d,development,0
yes_6c8b6e065bd3146d,yes,1,data/processed/classification_384/yes/yes_6c8b6e065bd3146d.png,pass,,sample::yes_6c8b6e065bd3146d,development,0
yes_76a496712d6d1d89,yes,1,data/processed/classification_384/yes/yes_76a496712d6d1d89.png,pass,,sample::yes_76a496712d6d1d89,development,0
yes_79af84b55617f832,yes,1,data/processed/classification_384/yes/yes_79af84b55617f832.png,pass,,sample::yes_79af84b55617f832,development,0
yes_7e05b989db144b6a,yes,1,data/processed/classification_384/yes/yes_7e05b989db144b6a.png,pass,ndg_012,ndg_012,development,0
yes_9d1b78b86d583a50,yes,1,data/processed/classification_384/yes/yes_9d1b78b86d583a50.png,pass,,sample::yes_9d1b78b86d583a50,development,0
yes_9eab71b093450cfb,yes,1,data/processed/classification_384/yes/yes_9eab71b093450cfb.png,pass,,sample::yes_9eab71b093450cfb,development,0
yes_adfe80b2b531e8b1,yes,1,data/processed/classification_384/yes/yes_adfe80b2b531e8b1.png,pass,,sample::yes_adfe80b2b531e8b1,development,0
yes_be61ffcce791d840,yes,1,data/processed/classification_384/yes/yes_be61ffcce791d840.png,pass,,sample::yes_be61ffcce791d840,development,0
yes_becc758666799e37,yes,1,data/processed/classification_384/yes/yes_becc758666799e37.png,pass,,sample::yes_becc758666799e37,development,0
yes_c367ea4f16ac06d6,yes,1,data/processed/classification_384/yes/yes_c367ea4f16ac06d6.png,pass,,sample::yes_c367ea4f16ac06d6,development,0
yes_cc6d23e897ded38e,yes,1,data/processed/classification_384/yes/yes_cc6d23e897ded38e.png,pass,,sample::yes_cc6d23e897ded38e,development,0
yes_d977825f239ece41,yes,1,data/processed/classification_384/yes/yes_d977825f239ece41.png,pass,,sample::yes_d977825f239ece41,development,0
yes_e5fde4fbf9480d56,yes,1,data/processed/classification_384/yes/yes_e5fde4fbf9480d56.png,pass,,sample::yes_e5fde4fbf9480d56,development,0
yes_ec5edf557c5a16b1,yes,1,data/processed/classification_384/yes/yes_ec5edf557c5a16b1.png,pass,,sample::yes_ec5edf557c5a16b1,development,0
yes_f0a9643903d4281c,yes,1,data/processed/classification_384/yes/yes_f0a9643903d4281c.png,pass,,sample::yes_f0a9643903d4281c,development,0
yes_f7a12e5d06d49c86,yes,1,data/processed/classification_384/yes/yes_f7a12e5d06d49c86.png,pass,,sample::yes_f7a12e5d06d49c86,development,0
yes_fca2facace9e457a,yes,1,data/processed/classification_384/yes/yes_fca2facace9e457a.png,pass,,sample::yes_fca2facace9e457a,development,0
no_0975f3c288be418a,no,0,data/processed/classification_384/no/no_0975f3c288be418a.png,pass,,sample::no_0975f3c288be418a,development,1
no_10546b7ed6867429,no,0,data/processed/classification_384/no/no_10546b7ed6867429.png,pass,,sample::no_10546b7ed6867429,development,1
no_111aeacdd05f0a5d,no,0,data/processed/classification_384/no/no_111aeacdd05f0a5d.png,pass,,sample::no_111aeacdd05f0a5d,development,1
no_1a7acec452891038,no,0,data/processed/classification_384/no/no_1a7acec452891038.png,pass,,sample::no_1a7acec452891038,development,1
no_3163618e3155c4d9,no,0,data/processed/classification_384/no/no_3163618e3155c4d9.png,pass,ndg_003,ndg_003,development,1
no_3b098b0d2bee33d7,no,0,data/processed/classification_384/no/no_3b098b0d2bee33d7.png,pass,,sample::no_3b098b0d2bee33d7,development,1
no_4e5a4979e0026611,no,0,data/processed/classification_384/no/no_4e5a4979e0026611.png,pass,,sample::no_4e5a4979e0026611,development,1
no_5cf2ebb7d8f93d79,no,0,data/processed/classification_384/no/no_5cf2ebb7d8f93d79.png,pass,ndg_003,ndg_003,development,1
no_85d9aedf6609d558,no,0,data/processed/classification_384/no/no_85d9aedf6609d558.png,pass,,sample::no_85d9aedf6609d558,development,1
no_958591875ea6906d,no,0,data/processed/classification_384/no/no_958591875ea6906d.png,pass,,sample::no_958591875ea6906d,development,1
